 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)불스원,서울특별시 ,"서울특별시 강남구 테헤란로 306(역삼동, 카이트타워)",37.5025597,127.044093,제조업,중견기업 253,1,1,1,3
(주)브레인콜라,서울특별시 ,"서울특별시 서초구 강남대로 311, 706호 (서초동, 한화드림플러스)",37.490867,127.0302433,정보통신업,중소기업 8,1,0,1,2
(주)브리지텍,서울특별시 ,"서울특별시 영등포구 국제금융로2길 32, 17층, 18층(여의도동, 여의도파이낸스타워)",37.5238324,126.9241294,정보통신업,중소기업 187,1,1,1,3
(주)브이티피엘,서울특별시 ,"서울특별시 강남구 테헤란로2길 27, 921호(역삼동, 패스트파이브빌딩)",37.4964557,127.0296885,도매 및 소매업,중소기업 37,1,1,1,3
(주)블룸즈베리리소시스리미티드,서울특별시 ,"서울특별시 강남구 봉은사로86길 6, 레베쌍트빌딩 9층 902호",37.5128761,127.0561856,정보통신업,중소기업 10,1,0,1,2
(주)비욘드마케팅그룹,서울특별시 ,"서울특별시 강남구 논현로 651, 1층, 5층, 6층(논현동, 법무사회관)",37.5117341,127.0312508,"전문, 과학 및 기술 서비스업",중소기업 56,0,0,1,1
(주)사운드캣,서울특별시 ,"서울특별시 용산구 원효로48길 17, 캣츠타워",37.5342546,126.9611583,도매 및 소매업,중소기업 48,1,1,1,3
(주)사이냅소프트,서울특별시 ,"서울특별시 구로구 디지털로33길 12, 906호(구로동, 우림이비지센터2차)",37.486541,126.8960952,정보통신업,중소기업 50,1,1,1,3
(주)삼일아엔씨,서울특별시 ,서울특별시 서초구 남부순환로339길 19 (서초동),37.4851507,127.0219325,도매 및 소매업,중소기업 71,0,0,1,1
(주)서래스터,서울특별시 ,"서울특별시 동대문구 망우로21길 52, C동 203호(휘경동, 춘태빌딩)",37.5903648,127.0600464,기타,중소기업 10,0,0,1,1
(주)서울스탠다드,서울특별시 ,"서울특별시 금천구 가산디지털1로 233, 에이스하이엔드타워 9차 407호",37.4857867,126.878377,제조업,중소기업 157,1,0,0,1
(주)세상에 없는 세상,서울특별시 ,"서울특별시 종로구 인사동 5길 25, 809호 (인사동, 하나로빌딩)",37.5720602,126.9853831,기타,중소기업 20,0,1,1,2
(주)세인티앤엘,서울특별시 ,"서울특별시 강남구 언주로 725, 동관 7층 (논현동,보전빌딩) ",37.5191805,127.0341598,기타,중소기업 34,0,0,1,1
(주)세일종합기술공사,서울특별시 ,"서울특별시 영등포구 영등포로 362, 세일빌딩",37.5141059,126.9179414,"전문, 과학 및 기술 서비스업",중소기업 270,1,1,1,3
(주)셀메이트,서울특별시 ,"서울특별시 마포구 만리재로 47, 공덕코어빌딩 3층, 5층 (신공덕동)",37.5457559,126.9559855,정보통신업,중소기업 48,0,1,1,2
(주)소만사,서울특별시 ,"서울특별시 영등포구 영신로 220(영등포동8가, KnK디지털타워 9층)",37.526554,126.904299,정보통신업,중소기업 320,1,1,1,3
(주)솔루텍시스템,서울특별시 ,"서울특별시 영등포구 영신로 220, 1104호 (영등포동8가, 케이엔케이디지털타워)",37.5283387,126.905394,정보통신업,중소기업 31,0,1,0,1
(주)스톤인테그리티,서울특별시 ,서울특별시 강남구 강남대로156길 31-15 (신사동),37.5192105,127.0211313,정보통신업,중소기업 17,0,1,0,1
(주)스틸리언,서울특별시 ,"서울특별시 용산구 원효로90길 11, 더프라임타워 업무동 12층",37.5395425,126.9696704,정보통신업,중소기업 53,1,1,1,3
(주)시큐레이어,서울특별시 ,"서울특별시 성동구 성수일로 4길 25, 1407호(성수동2가, 서울숲코오롱디지털타워)",37.542509,127.0518608,정보통신업,중소기업 92,0,0,1,1
(주)신티에스,서울특별시 ,"서울특별시 구로구 디지털로33길 55, 이앤씨벤처드림타워 2차 801호",37.487013,126.8931959,도매 및 소매업,중소기업 111,1,1,1,3
(주)씨에스피아이,서울특별시 ,"서울특별시 서초구 바우뫼로27길 7-31, 예원빌딩 10층 (양재동)",37.476102,127.035322,정보통신업,중소기업 202,0,1,1,2
(주)아리네트웍스,서울특별시 ,"서울특별시 성동구 아차산로 144, 301호(성수동2가, 우영테크노센터)",37.5430809,127.0595959,도매 및 소매업,중소기업 41,0,0,1,1
(주)아미크,서울특별시 ,"서울특별시 성동구 성수일로 10, 1405-1406호(성수동1가, 서울숲 ITCT 지식산업센터)",37.5457518,127.0469299,정보통신업,중소기업 17,1,1,0,2
(주)아이더스코리아,서울특별시 ,"서울특별시 강서구 양천로 376, 7층(가양동, 델타빌딩)",37.5667835,126.843755,"전문, 과학 및 기술 서비스업",중소기업 85,1,1,1,3
(주)아이뱅크,서울특별시 ,"서울특별시 금천구 가산디지털1로 145, 701호 (가산동, 에이스하이엔드타워3차)",37.4781156,126.8815677,정보통신업,중소기업 212,0,1,0,1
(주)아이비즈소프트웨어,서울특별시 ,"서울특별시 영등포구 선유로 70,  1301호(문래동3가, 우리벤처타운2)",37.5200945,126.8897017,정보통신업,중소기업 68,1,1,1,3
(주)아이센트,서울특별시 ,"서울특별시 성동구 아차산로17길 49, 성수 생각공장 데시앙플렉스 1515호",37.5464863,127.0653623,정보통신업,중소기업 60,0,1,0,1
(주)아이투맥스,서울특별시 ,"서울특별시 마포구 마포대로137, 6층 (공덕동, KPX빌딩)",37.551199,126.9625325,정보통신업,중소기업 170,1,1,0,2
(주)아이티레이,서울특별시 ,"서울특별시 금천구 가산디지털1로 45, 704호 (가산동, 이앤씨드림타워8차)",37.4697672,126.8855646,도매 및 소매업,중소기업 24,0,1,0,1
(주)아이포트폴리오,서울특별시 ,"서울특별시 중구 남대문로9길 24, 1102호(다동, 패스트파이브타워)",37.567102,126.9811195,정보통신업,중소기업 36,1,1,1,3
(주)애드캡슐소프트,서울특별시 ,"서울특별시 서초구 동광로12길 84, 성산관 4층",37.4885743,126.985083,정보통신업,중소기업 215,0,1,1,2
(주)앤비젼,서울특별시 ,"서울특별시 금천구 가산디지털2로 98, 1동 603호(가산동, IT캐슬)",37.4768505,126.8811806,제조업,중소기업 66,1,1,0,2
(주)언맨드솔루션,서울특별시 ,"서울특별시 마포구 성암로 330, C동 423호 (상암동, DMC첨단산업센터)",37.5848659,126.88598,제조업,중소기업 39,1,1,1,3
(주)에스앤에프솔루션,서울특별시 ,"서울특별시 서초구 효령로 304, 5층 5004호 (서초동, 국제전자센터)",37.4848201,127.0175261,정보통신업,중소기업 12,0,1,1,2
(주)에스엔제이,서울특별시 ,"서울특별시 구로구 디지털로31길 19, 604호 (구로동, 에이스테크노타워Ⅱ)",37.4848555,126.8937342,제조업,중소기업 19,1,1,1,3
(주)에스큐브아이,서울특별시 ,"서울특별시 서초구 동산로 23, 베델회관 3층",37.4703255,127.0418827,정보통신업,중소기업 62,0,1,1,2
(주)에어코드,서울특별시 ,"서울특별시 금천구 가산디지털2로 123, 13층(1314~1317호)(가산동, 월드메르디앙벤처센터2차)",37.4787503,126.8786525,정보통신업,중소기업 49,1,1,1,3
(주)에어큐브,서울특별시 ,"서울특별시 강서구 양천로 401, B동 606호 (가양동, 강서한강자이타워)",37.5653152,126.8480309,정보통신업,중소기업 50,1,1,1,3
(주)에어키,서울특별시 ,"서울특별시 서초구 사평대로 16, 누리빌딩 5층",37.4982752,126.9860554,정보통신업,중소기업 62,1,1,0,2
(주)에오스와이텍,서울특별시 ,"서울특별시 송파구 문정동 379-11, H비즈니스파크 B동 901호~902호 ",37.4846096,127.116685,정보통신업,중소기업 18,0,0,1,1
(주)에이제이월드,서울특별시 ,서울특별시 강서구 마곡중앙14로 16(마곡동),37.5712911,126.8369374,제조업,중소기업 49,1,1,0,2
(주)엑스큐어넷,서울특별시 ,서울특별시 은평구 가좌로 276 (신사동),37.5992464,126.9072944,정보통신업,중소기업 67,0,0,1,1
(주)엑스퍼넷,서울특별시 ,"서울특별시 구로구 디지털로31길 38-21, 609호 (구로동, 이앤씨벤처드림타워3차)",37.486478,126.893699,정보통신업,중소기업 78,0,1,1,2
