선정된해, 사업장명21,소재지21,업종21,임금21,일생활균형21,고용안정21,비고,,선정된해,사업장명,소재지,위도,경도,업종,기업규모,임금22,일생활균형22,고용안정22,비고,랭킹,비교,임금,일생활균형,고용안정
2021,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 비즈니스타워 17층",정보통신업,1,1,1,3,,2022,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 비지니스센터 17층(상암동,누리꿈스퀘어 비즈니스타워)",37.579396,126.8897942,정보통신업,중소기업 226,1,1,1,3,1,=,2,2,2
2021,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, w1404호(성수동2가, 성수역 현대테라스타워)",정보통신업,1,1,1,3,,2022,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, W1404호(성수동2가,성수역 현대테라스타워)",37.5439435,127.0532314,정보통신업,대기업 79,1,1,1,3,1,=,2,2,2
2021,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호",정보통신업,1,1,1,3,,2022,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호(문정동,에이치비지니스파크)",37.4941097,127.0106092,정보통신업,중소기업 191,1,1,1,3,1,=,2,2,2
2021,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가, 단암빌딩)",제조업,1,1,1,3,,2022,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가,단암빌딩)",37.5585026,126.9753986,제조업,중소기업 200,1,1,1,3,1,=,2,2,2
2021,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 21~22층(서초동, GT타워동관)",도매 및 소매업,1,1,1,3,,2022,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 동관 21~22층(서초동,GT타워)",37.4977803,127.0261927,도매 및 소매업,중견기업 203,1,1,1,3,1,=,2,2,2
2021,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",정보통신업,1,1,1,3,,2022,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",37.4934675,127.0098909,정보통신업,중소기업 41,1,1,1,3,1,=,2,2,2
2021,(주)더블미,"서울특별시 중구 청계천로 40, 13층 1316호(다동, 한국관광공사)",정보통신업,1,0,0,1,,2022,(주)더블미,"서울특별시 서초구 강남대로 148, 6층 2호(양재동,상록빌딩)",37.48453,127.0399084,정보통신업,중소기업 21,1,1,1,3,2,++,2,1,1
2021,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401~402호 (가산동, SJ테크노빌)",도매 및 소매업,0,1,1,2,,2022,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401,402호(가산동,SJ테크노빌)",37.4793995,126.8846023,도매 및 소매업,중소기업 17,1,1,1,3,2,+,1,2,2
2021,(주)아이투맥스,"서울특별시 마포구 마포대로137, 6층 (공덕동, KPX빌딩)",정보통신업,1,1,0,2,,2022,(주)아이투맥스,"서울특별시 마포구 마포대로 137, 6층(공덕동,KPX빌딩)",37.551199,126.9625325,정보통신업,중소기업 170,1,1,1,3,2,+,2,2,1
2021,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호 (구로동, 이앤씨벤처드림타워3차)",정보통신업,0,1,1,2,,2022,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호(구로동,이앤씨벤쳐드림타워3차)",37.486478,126.893699,정보통신업,중소기업 78,1,1,1,3,2,+,1,2,2
2021,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동, 에이스k1타워)","전문, 과학 및 기술 서비스업",0,1,1,2,,2022,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동,에이스K1타워)",37.4853698,126.8810751,"전문, 과학 및 기술 서비스업",중소기업 158,1,1,1,3,2,+,1,2,2
2021,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동, 에이스하이엔드타워3차)",정보통신업,1,1,0,2,,2022,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동,에이스하이엔드타워3차)",37.4781156,126.8815677,정보통신업,중소기업 145,1,1,1,3,2,+,2,2,1
2021,(주)코리아리서치인터내셔널,"서울특별시 강남구 테헤란로7길 12, 3층(역삼동, 허바허바빌딩)","전문, 과학 및 기술 서비스업",0,1,1,2,,2022,(주)코리아리서치인터내셔널,"서울특별시 서초구 사임당로 18, 8층(석초동,석오빌딩)",37.4881404,127.0192861,"전문, 과학 및 기술 서비스업",중소기업 79,1,1,1,3,2,+,1,2,2
2021,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301호(구로동, 한신IT타워) ",정보통신업,1,0,1,2,,2022,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301~303호(구로동,한신IT타워)",37.4824724,126.894424,정보통신업,중소기업 52,1,1,1,3,2,+,2,1,2
2021,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",정보통신업,0,1,1,2,,2022,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",37.5135827,127.0316499,정보통신업,중소기업 215,1,1,1,3,2,+,1,2,2
2021,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동, 서초동동아빌라트)",정보통신업,1,0,1,2,,2022,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동,동아빌라트)",37.4951551,127.0198169,정보통신업,중소기업 67,1,1,1,3,2,+,2,1,2
2021,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층 (문정동, 에이치비지니스파크)",정보통신업,1,1,0,2,,2022,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층",37.51492,127.10438,정보통신업,중소기업 233,1,1,1,3,2,+,2,2,1
2021,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동, 서린빌딩)","전문, 과학 및 기술 서비스업",1,0,1,2,,2022,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동,서린빌딩)",37.5121342,127.0197895,"전문, 과학 및 기술 서비스업",중소기업 57,1,1,1,3,2,+,2,1,2
2021,노아에이티에스(주),"서울특별시 종로구 종로5길 68, 5층(수송동, 코리안리빌딩)",정보통신업,1,0,1,2,,2022,노아에이티에스(주),"서울특별시 종로구 청계천로 41, 12층(서린동,영풍빌딩)",37.5696304,126.9821706,정보통신업,중소기업 152,1,1,1,3,2,+,2,1,2
2021,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층 (여의도동, 한국금융IT빌딩)",정보통신업,0,1,0,1,,2022,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층(여의도동,한국금융IT빌딩)",37.5208986,126.9300778,정보통신업,중소기업 20,1,1,1,3,2,++,1,2,1
2021,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, SK V1 센터 1동 1619호",정보통신업,0,1,1,2,,2022,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, 1동 1619호(성수2가,SK V1센터)",37.5476689,127.0465524,정보통신업,중소기업 26,1,1,1,3,2,+,1,2,2
2021,오아 주식회사,서울특별시 서초구 효령로46길 97,도매 및 소매업,1,0,1,2,,2022,오아 주식회사,서울특별시 서초구 효령로46길 97(서초동),37.4790472,127.0089313,도매 및 소매업,중소기업 170,1,1,1,3,2,+,2,1,2
2021,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로306, 11층 1108호(구로동, 대륭포스터타워2차)",정보통신업,0,0,1,1,,2022,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로 306, 1108호(구로동,대륭포스트타워2차)",37.4858838,126.8973216,정보통신업,중소기업 32,1,1,1,3,2,++,1,1,2
2021,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가, 선유도역2차 아이에스비즈타워)",정보통신업,1,1,0,2,,2022,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가,아이에스비즈타워2차)",37.5354789,126.8943457,정보통신업,중소기업 33,1,1,1,3,2,+,2,2,1
2021,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610-1621호 (문정동, SK V1 GL메트로시티)",정보통신업,1,1,0,2,,2022,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610~1621호(문정동,SK V1 GL메트로시티)",37.4941097,127.0106092,정보통신업,중소기업 215,1,1,1,3,2,+,2,2,1
2021,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동, IT캐슬2차)",정보통신업,1,0,0,1,,2022,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동,IT캐슬2차)",37.4776295,126.8819887,정보통신업,중소기업 30,1,1,1,3,2,++,2,1,1
2021,주식회사 소프트보울,"서울특별시 서초구 반포대로10, 신원빌딩 4층 ",정보통신업,0,1,1,2,,2022,주식회사 소프트보울,"서울특별시 서초구 반포대로 10, 4층(서초동,신원빌딩)",37.4816121,127.0129701,정보통신업,중소기업 22,1,1,1,3,2,+,1,2,2
2021,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동, 에이치비지니스파크)",정보통신업,0,1,1,2,,2022,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동,에이치비지니스파크)",37.51492,127.10438,정보통신업,중소기업 61,1,1,1,3,2,+,1,2,2
2021,주식회사 아데나소프트웨어,"서울특별시 강남구 테헤란로 207, 14층 (역삼동, 아가방빌딩)",정보통신업,1,0,1,2,,2022,주식회사 아데나소프트웨어,"서울특별시 강남구 테헤란로 207, 14층(역삼동,아가방빌딩)",37.5016744,127.0387038,정보통신업,중소기업 67,1,1,1,3,2,+,2,1,2
2021,주식회사 청안오가닉스,"서울특별시 서초구 효령로29길 39, 301호 (방배동, 전일빌딩)",도매 및 소매업,0,0,1,1,,2022,주식회사 청안오가닉스,"서울특별시 서초구 서초대로 137, 신국빌딩 4층",37.4890232,126.9971401,도매 및 소매업,중소기업 19,1,1,1,3,2,++,1,1,2
2021,주식회사 투비원솔루션즈,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동, 문정현대지식산업센터1-2)",정보통신업,0,0,1,1,,2022,주식회사 투비원솔루션즈,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동,문정현대지식산업센터1-2)",37.4941097,127.0106092,정보통신업,중소기업 26,1,1,1,3,2,++,1,1,2
2021,주식회사 피플벤처스,"서울특별시 마포구 성암로 330, 621호 (상암동, DMC첨단산업센터)",정보통신업,0,0,1,1,,2022,주식회사 피플벤처스,"서울특별시 마포구 성암로 330, 621호(상암동,DMC첨단산업센터)",37.5848659,126.88598,정보통신업,중소기업 29,1,1,1,3,2,++,1,1,2
2021,코리아스펙트랄프로덕츠(주),"서울특별시 구로구 디지털로 273, 402호 (구로3동, 에이스트윈타워2차)",제조업,0,1,1,2,,2022,코리아스펙트랄프로덕츠(주),"서울특별시 구로구 디지털로 273, 407호(구로동,에이스트윈타워2차) ",37.4839163,126.8940805,제조업,중소기업 25,1,1,1,3,2,+,1,2,2
2021,테크하임주식회사,"서울특별시 서초구 반포대로24길 21 , 3층,4층(서초동, 솔본빌딩)",정보통신업,0,0,1,1,,2022,테크하임주식회사,"서울특별시 서초구 반포대로24길 21, 3,4층(서초동,솔본빌딩)",37.4897392,127.0103574,정보통신업,중소기업 50,1,1,1,3,2,++,1,1,2
2021,파이언넷(주),서울특별시 강서구 마곡동로 36 (마곡동),정보통신업,1,0,1,2,,2022,파이언넷(주),서울특별시 강서구 마곡동로 36,37.5590032,126.8343207,정보통신업,중소기업 181,1,1,1,3,2,+,2,1,2
2021,핌즈(주),"서울특별시 중랑구 신내역로3길 40-36, A동 1217호(신내동, 신내데시앙플렉스)",정보통신업,0,0,1,1,,2022,핌즈(주),"서울특별시 중랑구 신내역로3길 40-36, A동 1217호",37.6126681,127.1032127,정보통신업,중소기업 42,1,1,1,3,2,++,1,1,2
2021,(주)골든민커뮤니케이션,"서울특별시 종로구 종로 5길 58, 11층(수송동,석탄회관)",도매 및 소매업,0,0,1,1,,2022,(주)골든민커뮤니케이션,"서울특별시 종로구 종로5길 58, 11층(수송동,석탄회관)",37.5729507,126.9804136,도매 및 소매업,중소기업 26,1,0,1,2,3,+,1,0,2
2021,(주)나우티앤에스,"서울특별시 구로구 디지털로 273, 에이스트윈타워2차 1302호",정보통신업,1,1,0,2,,2022,(주)나우티앤에스,"서울특별시 구로구 디지털로 273 ,1302~1303호(구로동,에이스트윈타워2차) ",37.4839163,126.8940805,정보통신업,중소기업 42,1,1,0,2,3,=,2,2,0
2021,(주)대곤코퍼레이션,"서울특별시 구로구 디지털로 285, 1201호(구로동, 에이스트윈타워1차)",제조업,1,1,0,2,,2022,(주)대곤코퍼레이션,"서울특별시 구로구 디지털로 285, 12층(구로동,에이스트윈타워1차)",37.4844473,126.8944933,제조업,중소기업 133,1,1,0,2,3,=,2,2,0
2021,(주)라파스,"서울특별시 강서구 마곡중앙8로1길 62(마곡동, 라파스)",제조업,1,1,0,2,,2022,(주)라파스,서울특별시 강서구 마곡중앙8로1길 62(마곡동) ,37.560808,126.9223359,제조업,중소기업 100,1,0,1,2,3,=,2,1,1
2021,(주)모스티소프트,"서울특별시 영등포구 여의나루로 67, 17층(여의도동, 신송빌딩)",정보통신업,0,0,1,1,,2022,(주)모스티소프트,"서울특별시 영등포구 여의나루로 67, 17층(여의도동,신송빌딩)",37.5235124,126.9264939,정보통신업,중소기업 34,0,1,1,2,3,+,0,1,2
2021,(주)버즈빌,"서울특별시 송파구 석촌호수로 272, 3층(송파동, 대림빌딩)","전문, 과학 및 기술 서비스업",1,1,0,2,,2022,(주)버즈빌,"서울특별시 송파구 석촌호수로272, MY빌딩 2~5층",37.5099342,127.1059156,"전문, 과학 및 기술 서비스업",중소기업 102,1,1,0,2,3,=,2,2,0
2021,(주)브레인콜라,"서울특별시 서초구 강남대로 311, 706호 (서초동, 한화드림플러스)",정보통신업,1,0,1,2,,2022,(주)브레인콜라,"서울특별시 서초구 강남대로 311, 1201호(드림플러스 강남)",37.490867,127.0302433,정보통신업,중소기업 8,1,0,1,2,3,=,2,0,2
2021,(주)셀메이트,"서울특별시 마포구 만리재로 47, 공덕코어빌딩 3층, 5층 (신공덕동)",정보통신업,0,1,1,2,,2022,(주)셀메이트,"서울특별시 마포구 만리재로 47, 3층,5층(신공덕동,공덕코어빌딩)",37.5457559,126.9559855,정보통신업,중소기업 48,0,1,1,2,3,=,0,2,2
2021,(주)씨에스피아이,"서울특별시 서초구 바우뫼로27길 7-31, 예원빌딩 10층 (양재동)",정보통신업,0,1,1,2,,2022,(주)씨에스피아이,"서울특별시 서초구 강남대로 222-6, 7층(Zinam빌딩)",37.4837912,127.0357184,정보통신업,중소기업 202,0,1,1,2,3,=,0,2,2
2021,(주)아리네트웍스,"서울특별시 성동구 아차산로 144, 301호(성수동2가, 우영테크노센터)",도매 및 소매업,0,0,1,1,,2022,(주)아리네트웍스,"서울특별시 성동구 아차산로 144, 301호(성수동2가,우영테크노센터)",37.5430809,127.0595959,도매 및 소매업,중소기업 41,0,1,1,2,3,+,0,1,2
2021,(주)아미크,"서울특별시 성동구 성수일로 10, 1405-1406호(성수동1가, 서울숲 ITCT 지식산업센터)",정보통신업,1,1,0,2,,2022,(주)아미크,"서울특별시 성동구 성수일로 10, 1405,1406호(성수동1가,서울숲ITCT지식산업센터)",37.5457518,127.0469299,정보통신업,중소기업 17,1,0,1,2,3,=,2,1,1
