 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)퓨처젠,"서울특별시 구로구 디지털로31길 38-21, 1101호(구로동,이앤씨벤처드림타워3차) ",정보통신업,중소기업 277,0,1,0,1
(주)트루엔,"서울특별시 구로구 디지털로33길 28, 1309호(구로동,우림이비지센터1차)",제조업,중소기업 99,1,0,0,1
(주)포시에스,"서울특별시 강남구 논현로 646, 포시에스빌딩",정보통신업,중소기업 165,1,1,1,3
피엔케이피부임상연구센타(주),"서울특별시 영등포구 국회대로62길 25, 2,4,5층(한국교육시설안전원)","전문, 과학 및 기술 서비스업",중소기업 91,1,0,1,2
(주)단해,"서울특별시 강서구 마곡중앙로 165, 1201호(마곡동,프라이빗타워) ",제조업,중소기업 95,1,0,0,1
(주)호서텔넷,"서울특별시 강서구 강서로 416, 호서프라자 7층(등촌동)",제조업,중소기업 22,1,0,1,2
(주)넷앤드,"서울특별시 영등포구 의사당대로1길 25, 10층(여의도동,하남빌딩)",정보통신업,중소기업 145,1,1,1,3
어드밴텍케이알(주),"서울특별시 강서구 강서로 468, 1202호(등촌동,에이스타워)",제조업,중견기업 116,1,1,0,2
엘앤피코스메틱(주),"서울특별시 강서구 공항대로 516(등촌동,메디힐빌딩)",도매 및 소매업,중견기업 166,1,1,0,2
주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가,아이에스비즈타워2차)",정보통신업,중소기업 33,1,1,1,3
케이웨더 주식회사,"서울특별시 구로구 디지털로26길 5, 401호(구로동,에이스하이엔드타워1차)",정보통신업,중소기업 83,0,1,1,2
(주)중앙아이씨에스,"서울특별시 마포구 성암로 330, 412호(상암동,DMC첨단산업센터)",기타,중소기업 25,1,0,1,2
(주)날리지큐브,"서울특별시 서초구 서초중앙로 14, 15층(서초동,진로빌딩)",정보통신업,중소기업 70,1,1,1,3
(주)이노시뮬레이션,"서울특별시 강서구 마곡중앙8로7길 5(마곡동,이노캠퍼스)","전문, 과학 및 기술 서비스업",중소기업 77,0,1,0,1
이에스콘트롤스(주),"서울특별시 강남구 언주로 94길 9-1, 2층(역삼동)",제조업,중소기업 18,1,0,0,1
(주)피알원,"서울특별시 서대문구 충정로 70, 19층(미근동,웨스트게이트타워)","전문, 과학 및 기술 서비스업",중소기업 173,1,1,0,2
(주)지앤티솔루션,"서울특별시 중구 세종대로 23, 7층(남대문로5가,창화빌딩)",정보통신업,중소기업 38,1,1,0,2
(주)오픈놀,서울특별시 영등포구 양평로 2,정보통신업,중소기업 95,1,1,0,2
주식회사 아이버스터,"서울특별시 마포구 월드컵북로6길 45, 5층(연남동,제일충무빌딩)",도매 및 소매업,중소기업 21,1,1,1,3
(주)경동하우징,"서울특별시 영등포구 양평로 5, 7층(당산동5가)",도매 및 소매업,중소기업 60,1,1,0,2
(주)내일신문,서울특별시 종로구 새문안로3길 3(신문로1가),정보통신업,중소기업 64,1,0,0,1
(주)우리기술,"서울특별시 마포구 월드컵북로 56길 9, 4층(DMC단지,우리기술빌딩)",제조업,중소기업 115,1,0,1,2
