 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)핀업,"서울특별시 강남구 삼성로95길 10, 2~4층(삼성동,핀업빌딩)",정보통신업,중소기업 48,1,1,1,3
주식회사 자이냅스,"서울특별시 강남구 테헤란로86길 14, 7,8층(대치동,윤천빌딩) ",정보통신업,중소기업 67,1,0,1,2
비즈톡 주식회사,"서울특별시 강남구 봉은사로 304, 14층(역삼동,금강빌딩)",정보통신업,중소기업 24,0,0,1,1
주식회사 뉴본홀딩스,"서울특별시 강남구 역삼로73길 5(대치동,아크디뉴본) ","전문, 과학 및 기술 서비스업",중소기업 41,0,1,1,2
(주)어반베이스,"서울특별시 서초구 서초대로 77길 17, 11층(Block77빌딩)",정보통신업,중소기업 54,1,1,0,2
(주)어퓨마케팅서비스,"서울특별시 강남구 언주로136길 11, 4층(논현동,성현빌딩)",기타,중소기업 12,0,0,1,1
(주)드제이,"서울특별시 마포구 양화로12길 8-6, 2층(서교동,대륭빌딩)",정보통신업,중소기업 47,1,1,0,2
주식회사 레뷰코퍼레이션,서울특별시 강남구 논현로135길 29(논현동),"전문, 과학 및 기술 서비스업",중소기업 201,0,1,1,2
주식회사 호윤,"서울특별시 성동구 연무장11길 10, 249호(성수동2가,우리큐브)",정보통신업,중소기업 15,0,0,1,1
주식회사 티오리한국,"서울특별시 강남구 테헤란로 414, 5층(대치동,엘앤비타워)",정보통신업,중소기업 39,1,1,1,3
(주)넥스트랩,"서울특별시 강남구 선릉로 703, 12층( 논현동,H&S Tower)",정보통신업,중소기업 21,1,1,1,3
(주)블루오렌지커뮤니케이션즈,"서울특별시 서초구 서초대로 48길 33, 3층(서초동,허브원빌딩)","전문, 과학 및 기술 서비스업",중소기업 80,0,1,1,2
주식회사 인스팅터스,"서울특별시 성동구 왕십리로 115, G601호(성수동1가,헤이그라운드 서울숲점) ",도매 및 소매업,중소기업 35,1,0,1,2
주식회사 투게더앱스,"서울특별시 강남구 논현로111길 23(논현동,ST빌딩)",도매 및 소매업,중소기업 76,1,1,1,3
주식회사 엠엠엠디,"서울특별시 강서구 공항대로 329, 4층(등촌동,청호프라자)",도매 및 소매업,중소기업 31,1,0,1,2
스페이스워크 주식회사,"서울특별시 성동구 왕십리로 125, 501,519호(성수동1가,KD타워)",정보통신업,중소기업 41,1,1,1,3
(주)엔오원,"서울특별시 영등포구 국제금융로6길 33, 831호(여의도동,맨하탄빌딩)",도매 및 소매업,중소기업 17,0,1,0,1
(주)사이버라인,"서울특별시 서초구 사임당로 173, 10층(서초동,서전빌딩)",정보통신업,중소기업 37,0,0,1,1
주식회사 프로텐,"서울특별시 금천구 가산디지털1로 165, 404호(가산동,가산비지니스센터) ",정보통신업,중소기업 18,1,1,0,2
주식회사 메이데이파트너스,"서울특별시 강남구 봉은사로 439, 2,3층(삼성동,CC빌딩) ","전문, 과학 및 기술 서비스업",중소기업 47,1,1,1,3
(주)스탠스,"서울특별시 노원구 공릉로 232, 테크노큐브동 705호(공릉동,서울과학기술대학교)",정보통신업,중소기업 26,1,0,1,2
주식회사 짐싸,"서울특별시 강남구 테헤란로 302, 14층(역삼동,위워크타워)",정보통신업,중소기업 31,0,1,1,2
(주)다래전략사업화센터,"서울특별시 강남구 테헤란로 132, 한독빌딩 11층","전문, 과학 및 기술 서비스업",중소기업 50,0,1,0,1
주식회사 리스너,"서울특별시 강남구 선릉로93길 27, 9층(역삼동,아름빌딩) ",정보통신업,중소기업 66,1,0,1,2
(주)데이터마케팅코리아,"서울특별시 강남구 테헤란로53길 16(역삼동,예안빌딩)",정보통신업,중소기업 50,1,1,1,3
다보오에스티(주),"서울특별시 금천구 가산디지털2로 115, 610호(가산동,대륭테크노타운3차) ",도매 및 소매업,중소기업 27,0,1,1,2
아이솔라에너지 주식회사,"서울특별시 마포구 월드컵북로 361, 19층",도매 및 소매업,중소기업 33,1,0,1,2
알엔에이애널리틱스 주식회사,"서울특별시 종로구 청계천로 35, 13층(서린동,관정빌딩)","전문, 과학 및 기술 서비스업",중소기업 5,1,1,0,2
(주)메디노,"서울특별시 금천구 가산로9길 66, 820호(가산동,더리즌밸리 지식산업센터)","전문, 과학 및 기술 서비스업",중소기업 42,1,0,1,2
구디아카데미,"서울특별시 금천구 가산디지털2로 115, 1109-1호(가산동,대륭테크노타운3차)",기타,중소기업 8,0,0,1,1
(주)엠브레인퍼블릭,"서울특별시 강남구 강남대로 318, 3~5층(역삼동,TOWER837)","전문, 과학 및 기술 서비스업",중소기업 78,0,1,0,1
(주)에이치에스엔지니어링,"서울특별시 송파구 새말로 101, 5층(문정동,형수빌딩)","전문, 과학 및 기술 서비스업",중소기업 14,1,1,0,2
호식이두마리치킨,"서울특별시 강남구 학동로337, 12층(H타워)",도매 및 소매업,중소기업 59,1,1,1,3
(주)예지C&C,"서울특별시 금천구 서부샛길 606, B동 1111호(가산동,대성디폴리스)","전문, 과학 및 기술 서비스업",중소기업 35,1,1,1,3
(주)정도유아이티,"서울특별시 강남구 테헤란로38길 29, 5층(역삼동,이원빌딩)",정보통신업,중소기업 77,0,1,0,1
샤인 치과교정과 치과병원,"서울특별시 노원구 노해로 488, 5층 샤인치과(상계동,근호빌딩)",기타,중소기업 12,1,0,1,2
(주)몽키소프트,"서울특별시 금천구 벚꽃로 278, 917호(가산동,SJ테크노빌)",정보통신업,중소기업 13,1,1,1,3
(주)더기프팅컴퍼니,"서울특별시 성동구 상원12길 1, 3층(성수동1가,유앤아이빌딩) ",정보통신업,중소기업 41,1,1,1,3
주식회사 포티투마루,서울특별시 서초구 신반포로 310,정보통신업,중소기업 82,1,1,1,3
(주)브로스그룹,서울특별시 마포구 동교로17안길 43(서교동),"전문, 과학 및 기술 서비스업",중소기업 15,0,0,1,1
주식회사 스패로우,"서울특별시 마포구 월드컵북로 396, 17층(상암동,누리꿈스퀘어 비즈니스타워)",정보통신업,중소기업 48,1,1,1,3
주식회사 볼트크리에이션,"서울특별시 구로구 디지털로32가길 18, 813호(구로동,HK타워)",제조업,중소기업 28,0,0,1,1
(주)스토린랩,"서울특별시 마포구 양화로8길 24, 2층(서교동,파피루스빌딩)",정보통신업,중소기업 22,0,0,1,1
기산전자(주),서울특별시 성동구 성수이로20길 35(성수동2가),제조업,중소기업 133,1,1,0,2
(주)조아라,"서울특별시 금천구 가산디지털1로 131, B동 2104호(가산동,비와이씨하이시티 지식산업센터)",정보통신업,중소기업 76,0,1,0,1
주식회사 칸미디어,"서울특별시 서초구 바우뫼로 179, 2층(양재동,에이스빌딩)",정보통신업,중소기업 27,0,0,1,1
주식회사 가인지캠퍼스,"서울특별시 마포구 토정로 16, 2층",도매 및 소매업,중소기업 29,0,1,1,2
(주)브레인콜라,"서울특별시 서초구 강남대로 311, 1201호(드림플러스 강남)",정보통신업,중소기업 8,1,0,1,2
(주)백아이엔씨,"서울특별시 서초구 서초대로 118, 7층(방배동,양지빌딩2)","전문, 과학 및 기술 서비스업",중소기업 12,1,1,1,3
(주)트랜서핑,서울특별시 종로구 율곡로5길 12-2(안국동) ,도매 및 소매업,중소기업 20,0,0,1,1
주식회사 팬마음,"서울특별시 강남구 테헤란로2길 27, 916호(역삼동,패스트파이브빌딩)",정보통신업,중소기업 12,0,0,1,1
(주)엠디뮨,"서울특별시 성동구 아차산로 49, 602,701,1001~1003,1005,1102호(성수동1가,서울숲코오롱디지털타워3차)","전문, 과학 및 기술 서비스업",중소기업 42,1,1,1,3
주식회사 마담,"서울특별시 성동구 성수이로 119, 5층(성수동2가,덕산빌딩)","전문, 과학 및 기술 서비스업",중소기업 16,1,0,1,2
주식회사 포바이포,"서울특별시 서초구 강남대로 479, 12~14층(반포동,신논현타워)",정보통신업,중소기업 120,1,1,1,3
(주)더블미,"서울특별시 서초구 강남대로 148, 6층 2호(양재동,상록빌딩)",정보통신업,중소기업 21,1,1,1,3
주식회사 에오스와이텍,"서울특별시 송파구 법원로 11길 25, B동 901,902호(문정동 에이치비지니스파크)",정보통신업,중소기업 18,1,1,1,3
아콘소프트주식회사,"서울특별시 강남구 테헤란로8길41, 4층(NSB빌딩)",정보통신업,중소기업 40,1,0,1,2
(주)글로벌의학연구센터,"서울특별시 강남구 도산대로 107, 17층(신사동)","전문, 과학 및 기술 서비스업",중소기업 39,1,0,1,2
주식회사 대흥정보,"서울특별시 영등포구 문래북로 116, 403호(문래동3가,트리플렉스)",정보통신업,중소기업 68,1,0,1,2
주식회사 이제이엔,"서울특별시 강남구 테헤란로 504, 8층(해성빌딩)",정보통신업,중소기업 11,1,1,1,3
주식회사 딥비전스,"서울특별시 성동구 성수일로12길 20, 501호(성수동2가,성동안심상가)",정보통신업,중소기업 16,1,1,1,3
주식회사 포스타입,"서울특별시 강남구 테헤란로4길 5, 6층(역삼동,해암빌딩)",정보통신업,중소기업 34,1,1,1,3
주식회사 아이엠파인,"서울특별시 마포구 잔다리로 31, 4~5층(서교동,제우피스빌딩)",정보통신업,중소기업 20,1,1,1,3
(주)오엠인터랙티브,"서울특별시 성동구 성수이로22길 37, 502호(성수동2가,아크밸리)",정보통신업,중소기업 24,0,1,1,2
주식회사 원키,서울특별시 강남구 강남대로 100길 24 ,정보통신업,중소기업 19,1,0,1,2
(주)강안교육,서울특별시 강남구 영동대로 85길 20-9 강안교육빌딩,기타,중소기업 15,1,1,0,2
(주)무한정보기술,"서울특별시 영등포구 당산로2길 12, 706호(문래동3가,에이스테크노타워)",정보통신업,중소기업 48,1,0,0,1
주식회사 데일리펀딩,"서울특별시 강남구 언주로 620, 현대인텔렉스 9층",정보통신업,중소기업 28,1,0,1,2
(주)제이앤에스팩토리,"서울특별시 종로구 청계천로 71(관철동,계원빌딩)",정보통신업,중소기업 14,1,0,1,2
제이더플로어,"서울특별시 강남구 학동로53길 19, 2층(논현동)",도매 및 소매업,중소기업 12,1,1,1,3
주식회사 큐비스트,"서울특별시 강남구 언주로149길 11, 2층(논현동)",도매 및 소매업,중소기업 17,0,0,1,1
주식회사 얼리슬로스,서울특별시 종로구 삼청로 12,정보통신업,중소기업 14,1,1,1,3
주식회사 에이아이스페라,"서울특별시 성동구 연무장5가길 7, W701~704호(성수동2가,현대테라스타워)",정보통신업,중소기업 32,1,1,1,3
동문이엔티(주),"서울특별시 구로구 디지털로33길 12, 501~505호(우림이비즈센처2차)",도매 및 소매업,중소기업 86,1,1,1,3
(주)솔루텍시스템,"서울특별시 영등포구 영신로 220, 1104호(영등포동8가,KnK디지털타워)",정보통신업,중소기업 31,0,1,0,1
라온화이트햇 주식회사,"서울특별시 강남구 테헤란로 145,13층(역삼동,우신빌딩)",정보통신업,중소기업 53,1,1,0,2
(주)엠앤와이즈,"서울특별시 구로구 디지털로 243, 지하이시티 601~605호",정보통신업,중소기업 61,1,1,1,3
화인컴에스이(주),"서울특별시 송파구 송파대로 201, A동 1109~1112호(문정동,테라타워2)",제조업,중소기업 29,1,1,1,3
라온시큐어(주),"서울특별시 강남구 테헤란로 145,18층(역삼동,우신빌딩)",정보통신업,중소기업 181,1,1,0,2
주식회사 커머스웨어,"서울특별시 성동구 광나루로8길 31, 2동 905호(성수동2가,SK V1센터)",정보통신업,중소기업 126,1,1,1,3
(주)소만사,"서울특별시 영등포구 영신로 220, 9층(영등포동8가,KnK디지털타워)",정보통신업,중소기업 320,1,1,1,3
(주)예평이앤씨,"서울특별시 송파구 충민로 10, 가든파이브 툴동 8층 S-17호","전문, 과학 및 기술 서비스업",중소기업 33,1,1,0,2
(주)실크로드시앤티,"서울특별시 강남구 강남대로308, 9층(역삼동,랜드마크타워)",도매 및 소매업,중견기업 182,1,1,1,3
(주)클라모스,"서울특별시 구로구 디지털로 242, 709호(구로동, 한화비즈메트로1차)",정보통신업,중소기업 15,1,1,0,2
