선정된해, 사업장명21,소재지21,업종21,임금21,일생활균형21,고용안정21,비고,선정된해, 사업장명22,소재지22,업종22,임금22,일생활균형22,고용안정22,비고
2021,주식회사 투비원솔루션즈,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동, 문정현대지식산업센터1-2)",정보통신업,0,0,1,1,2022,주식회사 투비원솔루션즈,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동,문정현대지식산업센터1-2)",정보통신업,1,1,1,3
2021,주식회사 피플벤처스,"서울특별시 마포구 성암로 330, 621호 (상암동, DMC첨단산업센터)",정보통신업,0,0,1,1,2022,주식회사 피플벤처스,"서울특별시 마포구 성암로 330, 621호(상암동,DMC첨단산업센터)",정보통신업,1,1,1,3
2021,테크하임주식회사,"서울특별시 서초구 반포대로24길 21 , 3층,4층(서초동, 솔본빌딩)",정보통신업,0,0,1,1,2022,테크하임주식회사,"서울특별시 서초구 반포대로24길 21, 3,4층(서초동,솔본빌딩)",정보통신업,1,1,1,3
2021,핌즈(주),"서울특별시 중랑구 신내역로3길 40-36, A동 1217호(신내동, 신내데시앙플렉스)",정보통신업,0,0,1,1,2022,핌즈(주),"서울특별시 중랑구 신내역로3길 40-36, A동 1217호",정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,(주)강안교육,"서울특별시 강남구 삼성로76길 23-22(대치동, 에비앙빌딩 1층)",기타,1,1,1,3,2022,(주)강안교육,서울특별시 강남구 영동대로 85길 20-9 강안교육빌딩,기타,1,1,0,2
2021,(주)세일종합기술공사,"서울특별시 영등포구 영등포로 362, 세일빌딩","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)세일종합기술공사,"서울특별시 영등포구 영등포로 362(신길동,세일빌딩)","전문, 과학 및 기술 서비스업",1,1,0,2
2021,(주)예평이앤씨,"서울특별시 송파구 충민로 10, 8층 S-17호 (문정동, 가든파이브툴)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)예평이앤씨,"서울특별시 송파구 충민로 10, 가든파이브 툴동 8층 S-17호","전문, 과학 및 기술 서비스업",1,1,0,2
2021,(주)펨트론,"서울특별시 금천구 가산디지털1로 219, 1406호(가산동, 벽산디지털밸리6차)",제조업,1,1,1,3,2022,(주)펨트론,"서울특별시 금천구 가산디지털1로 219, 1406호(가산동,벽산디지털밸리6차)",제조업,1,1,0,2
2021,(주)한국해사기술,"서울특별시 강남구 학동로 175, 5층(논현동, 미디어센터)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)한국해사기술,"서울특별시 강남구 학동로 175, 5층(논현동,미디어센터)","전문, 과학 및 기술 서비스업",1,1,0,2
2021,어드밴텍케이알(주),"서울특별시 강서구 강서로 468, 1202호(등촌동, 테크노타워)",제조업,1,1,1,3,2022,어드밴텍케이알(주),"서울특별시 강서구 강서로 468, 1202호(등촌동,에이스타워)",제조업,1,1,0,2
2021,엘앤피코스메틱(주),"서울특별시 강서구 공항대로 516 (등촌동, 메디힐빌딩)",도매 및 소매업,1,1,1,3,2022,엘앤피코스메틱(주),"서울특별시 강서구 공항대로 516(등촌동,메디힐빌딩)",도매 및 소매업,1,1,0,2
2021,위시컴퍼니(주),"서울특별시 강남구 테헤란로 211, 한국고등교육재단 14층",도매 및 소매업,1,1,1,3,2022,위시컴퍼니(주),"서울특별시 강남구 테헤란로 211, 14층(역삼동)",도매 및 소매업,1,1,0,2
2021,쿠도커뮤니케이션(주),"서울특별시 서초구 효령로 171, 3층 302호(서초동, 용상빌딩)",제조업,1,1,1,3,2022,쿠도커뮤니케이션(주),"서울특별시 서초구 효령로 171, 용상빌딩 302호",제조업,1,1,0,2
,,,,,,,,,,,,,,,
2021,(주)백조씽크,"서울특별시 동대문구 청계천로 463, 백조빌딩 4층",제조업,1,1,1,3,2022,(주)백조씽크,서울특별시 동대문구 청계천로 463(용두동),제조업,1,0,1,2
2021,(주)브이티피엘,"서울특별시 강남구 테헤란로2길 27, 921호(역삼동, 패스트파이브빌딩)",도매 및 소매업,1,1,1,3,2022,(주)브이티피엘,"서울특별시 강남구 테헤란로2길 27, 921,1307호(역삼동,패스트파이브빌딩)",도매 및 소매업,1,0,1,2
2021,(주)이에이엔테크놀로지,서울특별시 강남구 테헤란로77길 11-19 EAN빌딩,"전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)이에이엔테크놀로지,"서울특별시 강남구 테헤란로77길 11-19(삼성동,EAN빌딩)","전문, 과학 및 기술 서비스업",1,0,1,2
2021,(주)태조엔지니어링,"서울특별시 송파구 백제고분로 503(방이동, 유정빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)태조엔지니어링,"서울특별시 송파구 백제고분로 503, 4층(방이동,유정빌딩)","전문, 과학 및 기술 서비스업",1,0,1,2
2021,주식회사 이뮤노맥스,"서울특별시 성북구 안암로 145, 고려대학교 자연계캠퍼스 산학관 309호(안암동5가, 고려대학교안암캠퍼스)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,주식회사 이뮤노맥스,"서울특별시 성북구 안암로 145, 309호(안암동5가,고려대 자연계캠퍼스 산학관)","전문, 과학 및 기술 서비스업",1,0,1,2
,,,,,,,,,,,,,,,
2021,(주)다하미커뮤니케이션즈,"서울특별시 중구 마른내로 140, 5층(쌍림동, 인쇄정보센터)",정보통신업,1,1,1,3,2022,(주)다하미커뮤니케이션즈,"서울특별시 중구 마른내로 140, 5층(쌍림동,인쇄정보센터)",정보통신업,0,1,1,2
2021,(주)레드소프트,"서울특별시 구로구 디지털로31길 38-21, 309호(구로동,이앤씨벤처드림타워3차)",정보통신업,1,1,1,3,2022,(주)레드소프트,"서울특별시 구로구 디지털로31길 38-21, 309호(구로동,이앤씨벤처드림타워3차)",정보통신업,0,1,1,2
2021,(주)엠토스솔루션스,"서울특별시 금천구 가산디지털1로 219, 811호,1112호(가산동, 벽산디지털밸리 6차)",도매 및 소매업,1,1,1,3,2022,(주)엠토스솔루션스,"서울특별시 금천구 가산디지털1로 219, 811호,1112호(가산동,벽산디지털밸리6차)",도매 및 소매업,0,1,1,2
2021,(주)이너버스,"서울특별시 영등포구 양평로21길 26, 1604~7호(양평동5가, 아이에스비즈타워)",정보통신업,1,1,1,3,2022,(주)이너버스,"서울특별시 영등포구 양평로21길 26, 1604~1607호(양평동5가,아이에스비즈타워)",정보통신업,0,1,1,2
2021,주식회사 온채널,"서울특별시 용산구 새창로 217, 806호(한강로2가, 용산토투밸리)",도매 및 소매업,1,1,1,3,2022,주식회사 온채널,"서울특별시 용산구 새창로 217, 806호(한강로2가,용산토투밸리) ",도매 및 소매업,0,1,1,2
,,,,,,,,,,,,,,,
2021,(주)나우티앤에스,"서울특별시 구로구 디지털로 273, 에이스트윈타워2차 1302호",정보통신업,1,1,0,2,2022,(주)나우티앤에스,"서울특별시 구로구 디지털로 273 ,1302~1303호(구로동,에이스트윈타워2차) ",정보통신업,1,1,0,2
2021,(주)대곤코퍼레이션,"서울특별시 구로구 디지털로 285, 1201호(구로동, 에이스트윈타워1차)",제조업,1,1,0,2,2022,(주)대곤코퍼레이션,"서울특별시 구로구 디지털로 285, 12층(구로동,에이스트윈타워1차)",제조업,1,1,0,2
2021,(주)버즈빌,"서울특별시 송파구 석촌호수로 272, 3층(송파동, 대림빌딩)","전문, 과학 및 기술 서비스업",1,1,0,2,2022,(주)버즈빌,"서울특별시 송파구 석촌호수로272, MY빌딩 2~5층","전문, 과학 및 기술 서비스업",1,1,0,2
2021,(주)한국리서치,"서울특별시 강남구 봉은사로 179, H-TOWER 7층","전문, 과학 및 기술 서비스업",1,1,0,2,2022,(주)한국리서치,"서울특별시 강남구 봉은사로 179, 7층(논현동,H타워)","전문, 과학 및 기술 서비스업",1,1,0,2
2021,(주)해양정보기술,"서울특별시 금천구 가산디지털2로 14, 1310호 (가산동, 대륭테크노타운12차)","전문, 과학 및 기술 서비스업",1,1,0,2,2022,(주)해양정보기술,"서울특별시 금천구 가산디지털2로 14, 1312호(가산동,대륭테크노타운12차)","전문, 과학 및 기술 서비스업",1,1,0,2
2021,기산전자(주),서울특별시 성동구 성수이로20길 35 (성수동2가),제조업,1,1,0,2,2022,기산전자(주),서울특별시 성동구 성수이로20길 35(성수동2가),제조업,1,1,0,2
2021,라온시큐어(주),"서울특별시 강남구 테헤란로 145, 11~13층, 16~18층 (역삼동, 우신빌딩)",정보통신업,1,1,0,2,2022,라온시큐어(주),"서울특별시 강남구 테헤란로 145,18층(역삼동,우신빌딩)",정보통신업,1,1,0,2
2021,유비벨록스(주),"서울특별시 구로구 디지털로31길 12, 14층(구로동, 태평양물산)",정보통신업,1,1,0,2,2022,유비벨록스(주),"서울특별시 구로구 디지털로31길 12, 13,14층(구로동,태평양물산)",정보통신업,1,1,0,2
2021,주식회사 제스파,"서울특별시 송파구 법원로11길 25, A동 901~915호 (문정동, 에이치비지니스파크)",도매 및 소매업,1,1,0,2,2022,주식회사 제스파,"서울특별시 송파구 법원로11길 25, A동 9층(문정동,에이치비지니스파크)",도매 및 소매업,1,1,0,2
2021,주식회사 트리거파트너스,"서울특별시 강남구 논현로114길 11, 2층 (논현동, 해광빌딩)","전문, 과학 및 기술 서비스업",1,1,0,2,2022,주식회사 트리거파트너스,"서울특별시 강남구 논현로114길 11, 2층(논현동,해광빌딩)",정보통신업,1,1,0,2
,,,,,,,,,,,,,,,
